Item,Mean,Var,Alpha,Beta,Beta_Params,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
94572:24,0.6477777777777778,0.1508172839506173,0.31136943595036504,0.1915664891786807,(0.31136943595036504  0.1915664891786807),[0.9780059  0.23510349],[0.021174863465477006  0.1256844346015776],[0.44  0.09  0.38  0.03  1.0  1.0  0.99  0.98  0.92],[0.22222222 0.         0.11111111 0.11111111 0.         0. 0.55555556],"i think normal's about sixty or seventy."
48858:41,0.4833333333333333,0.1263111111111111,0.3751034991947718,0.34901713328608974,(0.3751034991947718  0.34901713328608974),[0.84601044 0.19787796],[0.059246285142334806  0.13264856102693867],[0.34  0.04  0.82  0.48  0.08  0.72  0.9  0.03  0.94],[0.33333333 0.         0.11111111 0.11111111 0.         0.22222222 0.22222222],"well, there's, there's probably two or three different types of, of views as far as the controversy goes."
46424:21,0.3722222222222222,0.10026172839506171,0.694575795196783,0.8851955983513553,(0.694575795196783  0.8851955983513553),[0.11195462 0.6865692 ],[0.06584031109044258  0.12300142138330351],[0.67  0.26  0.51  0.64  0.96  0.17  0.11  0.01  0.02],[0.33333333 0.22222222 0.         0.11111111 0.22222222 0. 0.11111111],"like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground ,"
112417:64,0.3952631578947368,0.10745650969529086,0.3811747795477571,0.5752886316720617,(0.3811747795477571  0.5752886316720617),[0.14118306 0.73721948],[0.06594598954230914  0.1351960178783806],[0.25  0.95  0.03  0.14  0.25  0.49  0.09  0.9  0.13  0.57  0.5  0.8  0.0  0.79  0.25  0.95  0.03  0.14  0.25],[0.31578947 0.21052632 0.         0.15789474 0.         0.10526316 0.15789474],"my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie."
131265:36,0.4844444444444444,0.09726913580246913,0.6962073063968619,0.7244868360268645,(0.6962073063968619  0.7244868360268645),[0.73913371 0.16487994],[0.1076246837745718  0.05804741320466329],[0.52  0.03  0.7  0.25  0.99  0.72  0.2  0.77  0.18],[0.11111111 0.33333333 0.         0.11111111 0.11111111 0.22222222 0.11111111],"you only have  to check in with the office once or twice a week."
129768:34,0.4388888888888889,0.13827654320987653,0.3821673276052793,0.4611160088755507,(0.3821673276052793  0.4611160088755507),[0.74342551 0.05424017],[0.1286032920295485  0.055033373863805926],[0.53  0.99  0.01  0.19  0.55  0.02  0.82  0.0  0.84],[0.22222222 0.11111111 0.         0.22222222 0.         0.22222222 0.11111111],"i said if i knew beyond a doubt  or if i felt beyond a doubt  that he had done it, yeah, i guess i could convict him,"
20080:60,0.33,0.0804,0.5459237174684441,0.7617960936612234,(0.5459237174684441  0.7617960936612234),[0.09678278 0.61442365],[0.05467702488697182  0.10939379912361671],[0.0  0.15  0.57  0.07  0.62  0.22  0.44  0.05  0.85],[0.22222222 0.22222222 0.         0.22222222 0.11111111 0.11111111 0.        ],"currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries."
169005:87,0.551111111111111,0.14738765432098766,0.3354561190968489,0.21836471722286316,(0.3354561190968489  0.21836471722286316),[0.80833313 0.03666666],[0.10610146560403433  0.008847473059480783],[0.83  0.98  0.98  0.81  0.05  0.56  0.04  0.02  0.69],[0.33333333 0.         0.         0.11111111 0.11111111 0.22222222 0.22222222],"well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military."
74742:45,0.43999999999999995,0.0824,0.9408934246899352,0.8377802263244207,(0.9408934246899352  0.8377802263244207),[0.26128292 0.80210731],[0.08264455078218672  0.11367388803628611],[0.34  0.61  0.2  0.24  0.05  0.38  0.99  0.34  0.81],[0.11111111 0.22222222 0.33333333 0.         0.11111111 0.11111111 0.11111111],"and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets ."
173724:140,0.4722222222222222,0.0851283950617284,0.16268635907076895,0.7705930495178338,(0.16268635907076895  0.7705930495178338),[0.59051208 0.04481098],[0.1482659125078359  0.017691301398699167],[0.6  0.65  0.02  0.27  0.99  0.65  0.07  0.57  0.43],[0.22222222 0.11111111 0.         0.22222222 0.33333333 0. 0.11111111],"and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level."
91686:57,0.39,0.11895555555555555,1.3318537985330632,0.9130787570516058,(1.3318537985330632  0.9130787570516058),[0.092  0.7625],[0.06563916886309268  0.05966468490664703],[0.2  0.21  0.02  0.03  0.0  0.8  0.88  0.66  0.71],[0.22222222 0.22222222 0.         0.         0.22222222 0.11111111 0.11111111],"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um,"
